word,reading,meaning_en,jlpt_level
あいかわらず,あいかわらず,as ever; as usual; the same,N2
アイデア/アイディア,アイデア/アイディア,idea,N2
あいまい,あいまい,vague; ambiguous,N2
遭う,あう,to meet; to encounter (undesirable nuance),N2
扇ぐ,あおぐ,to fan; to flap,N2
青白い,あおじろい,pale; pallid,N2
あかんぼう,あかんぼう,baby,N2
明き,あき,room; time to spare; emptiness,N2
あきれる,あきれる,to be amazed; to be shocked,N2
アクセント,アクセント,accent,N2
あくび,あくび,yawn,N2
飽くまで,あくまで,to the end; to the last; stubbornly,N2
明け方,あけがた,dawn,N2
揚げる,あげる,to lift; to fry,N2
挙げる,あげる,to raise; to fly,N2
あげる (=やる),あげる (=やる),to do for,N2
憧れる,あこがれる,to long for; to yearn after; to admire,N2
足跡,あしあと,footprints,N2
味わう,あじわう,to taste; to savor; to relish,N2
預かる,あずかる,to keep in custody; to receive on deposit; to take charge of,N2
暖まる,あたたまる,to warm up; to get warm,N2
暖める,あたためる,to warm; to heat,N2
あたりまえ,あたりまえ,usual; common; ordinary,N2
あちらこちら,あちらこちら,here and there,N2
厚かましい,あつかましい,impudent; shameless; brazen,N2
圧縮,あっしゅく,compression; condensation; pressure,N2
宛名,あてな,address; direction,N2
あてはまる,あてはまる,to be applicable; to come under (a category); to fulfill,N2
あてはめる,あてはめる,to apply; to adapt,N2
暴れる,あばれる,to act violently; to rage; to struggle; to be riotous,N2
脂,あぶら,fat; tallow; lard,N2
あぶる,あぶる,to scorch,N2
あふれる,あふれる,to flood; to overflow; to brim over,N2
雨戸,あまど,sliding storm door,N2
甘やかす,あまやかす,to pamper; to spoil,N2
余る,あまる,to remain; to be left over; to be in excess; to be too many,N2
編物,あみもの,knitting; web,N2
編む,あむ,to knit,N2
危うい,あやうい,dangerous; critical; grave,N2
怪しい,あやしい,suspicious; dubious; doubtful,N2
荒い,あらい,rough; rude; wild,N2
粗い,あらい,coarse; rough,N2
あらすじ,あらすじ,outline; summary,N2
争う,あらそう,to dispute; to argue; to be at variance; to compete,N2
改めて,あらためて,another time; again; over again; anew; formally,N2
改める,あらためる,to change; to alter; to reform; to revise,N2
著す,あらわす,to write; to publish,N2
有難い,ありがたい,grateful; thankful; welcome; appreciated; evoking gratitude,N2
在る,ある,to live; to be,N2
あれこれ,あれこれ,one thing or another; this and that; this or that,N2
あわただしい,あわただしい,busy; hurried; confused; flurried,N2
あわてる,あわてる,to become confused,N2
安易,あんい,easy-going,N2
案外,あんがい,unexpectedly,N2
アンテナ,アンテナ,antenna,N2
言い出す,いいだす,to start talking; to speak; to tell; to propose; to suggest; to break the ice,N2
言い付ける,いいつける,to tell; to tell on (someone); to order,N2
意義,いぎ,meaning; significance,N2
生き生き,いきいき,vividly; lively,N2
いきなり,いきなり,(uk) abruptly; suddenly; all of a sudden; without warning,N2
育児,いくじ,childcare; nursing; upbringing,N2
幾分,いくぶん,somewhat,N2
生け花,いけばな,flower arrangement,N2
以後,いご,after this; from now on; hereafter; thereafter,N2
以降,いこう,on and after; hereafter; thereafter,N2
イコール,イコール,equal,N2
勇ましい,いさましい,brave; valiant; gallant; courageous,N2
衣食住,いしょくじゅう,necessities of life (food; clothing; etc.),N2
意地悪,いじわる,malicious; ill-tempered; unkind,N2
いちいち,いちいち,one by one; separately,N2
一応,いちおう,once; tentatively; in outline; for the time being,N2
一段と,いちだんと,greater; more; further; still more,N2
一流,いちりゅう,first class; top grade; foremost; top-notch,N2
佚,いつ,be lost; peace; hide; mistake; beautiful; in turn,N2
一昨日,いっさくじつ,the day before yesterday (or thereabouts),N2
一昨年,いっさくねん,the year before last (or thereabouts),N2
一斉,いっせい,simultaneous; all at once,N2
一旦,いったん,once; for a moment; one morning; temporarily,N2
一定,いってい,fixed; settled; definite,N2
いつのまにか,いつのまにか,before one knows; unnoticed; unawares,N2
移転,いてん,moving; transfer; demise,N2
井戸,いど,water well,N2
緯度,いど,latitude (nav.),N2
従姉妹,いとこ,cousin (female),N2
威張る,いばる,to be proud; to swagger,N2
嫌がる,いやがる,to hate; to dislike,N2
いよいよ,いよいよ,more and more; all the more; increasingly; at last; beyond doubt,N2
煎る,いる,to parch; to fry,N2
入れ物,いれもの,container; case; receptacle,N2
インキ,インキ,ink,N2
インタビュー,インタビュー,interview,N2
引力,いんりょく,gravity,N2
ウーマン,ウーマン,woman,N2
ウール,ウール,wool,N2
ウエートレス,ウエートレス,waitress,N2
植木,うえき,garden shrubs; trees; potted plant,N2
飢える,うえる,to starve,N2
浮ぶ,うかぶ,to float; to rise to surface; to come to mind,N2
浮かべる,うかべる,to float; to express; to look (sad; glad),N2
浮く,うく,to float; to become merry; to become loose,N2
承る,うけたまわる,(hum) to hear; to be told; to know,N2
受取,うけとり,receipt,N2
受け持つ,うけもつ,to take (be in) charge of,N2
薄暗い,うすぐらい,dim; gloomy,N2
薄める,うすめる,to dilute; to water down,N2
打合せ,うちあわせ,business meeting; previous arrangement; appointment,N2
打ち消す,うちけす,to deny; to negate; to contradict,N2
討つ,うつ,to attack; to avenge,N2
うっかり,うっかり,carelessly; thoughtlessly; inadvertently,N2
映す,うつす,to project; to reflect; to cast (shadow),N2
写る,うつる,to be photographed; to be projected,N2
映る,うつる,to be reflected; to harmonize with; to come out (photo),N2
うどん,うどん,noodles (Japanese),N2
有無,うむ,yes or no; existence; flag indicator (comp); presence or absence marker,N2
埋める,うめる,to bury; to fill up; to fill (a seat; a vacant position),N2
敬う,うやまう,to show respect; to honour,N2
裏返す,うらがえす,to turn inside out; to turn (something) over,N2
裏口,うらぐち,backdoor; rear entrance,N2
占う,うらなう,to forecast; to predict,N2
恨み,うらみ,resentment,N2
恨む,うらむ,to curse; to feel bitter,N2
羨ましい,うらやましい,envious; enviable,N2
羨む,うらやむ,to envy,N2
売上,うりあげ,amount sold; proceeds,N2
売り切れ,うりきれ,sold-out,N2
売り切れる,うりきれる,to be sold out,N2
売行き,うれゆき,sales,N2
うろうろ,うろうろ,loiteringly; aimless wandering,N2
運河,うんが,canal; waterway,N2
うんと,うんと,a great deal; very much,N2
英文,えいぶん,sentence in English,N2
英和,えいわ,english-Japanese (e.G. Dictionary),N2
ええと,ええと,let me see; well; er....,N2
液体,えきたい,liquid; fluid,N2
エチケット,エチケット,etiquette,N2
絵の具,えのぐ,colors; paints,N2
エプロン,エプロン,apron,N2
偉い,えらい,great; celebrated; eminent; terrible; awful; famous; remarkable; excellent,N2
宴会,えんかい,party; banquet,N2
園芸,えんげい,horticulture; gardening,N2
演劇,えんげき,play (theatrical),N2
円周,えんしゅう,circumference,N2
遠足,えんそく,trip; hike; picnic,N2
延長,えんちょう,extension; elongation; prolongation; lengthening,N2
煙突,えんとつ,chimney,N2
追い掛ける,おいかける,to chase or run after someone; to run down; to pursue,N2
追い越す,おいこす,to pass (e.G. Car); to outdistance; to outstrip,N2
オイル,オイル,oil; engine oil; kerosene,N2
応援,おうえん,aid; assistance; help; reinforcement,N2
王女,おうじょ,princess,N2
応ずる,おうずる,to answer; to respond; to meet; to satisfy; to accept,N2
応接,おうせつ,reception,N2
応対,おうたい,receiving; dealing with,N2
往復,おうふく,(col) round trip; coming and going; return ticket,N2
欧米,おうべい,europe and America; the West,N2
応用,おうよう,application; put to practical use,N2
オーケストラ,オーケストラ,orchestra,N2
おおざっぱ,おおざっぱ,rough (not precise); broad; sketchy,N2
大通り,おおどおり,main street,N2
オートメーション,オートメーション,automation,N2
大凡,おおよそ,about; roughly; as a rule; approximately,N2
お帰り,おかえり,return; welcome,N2
おかげさまで,おかげさまで,thanks to god; thanks to you,N2
おかず,おかず,side dish; accompaniment for rice dishes,N2
拝む,おがむ,to worship; to beg; to make a supplication,N2
お代わり,おかわり,second helping; another cup,N2
補う,おぎなう,to compensate for,N2
屋外,おくがい,outdoors,N2
おくさん,おくさん,(hon) wife; your wife; madam,N2
送り仮名,おくりがな,part of word written in kana,N2
怠る,おこたる,to neglect; to be off guard; to be feeling better,N2
押える,おさえる,to stop; to restrain; to seize; to repress; to suppress; to press down,N2
おさきに,おさきに,before; ahead; previously,N2
納める,おさめる,to obtain; to reap; to pay; to supply; to accept,N2
治める,おさめる,to govern; to manage,N2
惜しい,おしい,regrettable; disappointing; precious,N2
御辞儀,おじぎ,bow,N2
伯父さん,おじさん,middle-aged gentleman; uncle,N2
小父さん,おじさん,middle-aged gentleman; uncle,N2
叔父さん,おじさん,middle-aged gentleman; uncle,N2
おしゃれ,おしゃれ,smartly dressed; someone smartly dressed; fashion-conscious,N2
おじゃまします,おじゃまします,excuse me for disturbing you,N2
教わる,おそわる,to be taught,N2
おだいじに,おだいじに,take care of yourself,N2
落着く,おちつく,to calm down; to settle down,N2
御手洗,おてあらい,font of purifying water placed at entrance of shrine,N2
お手伝いさん,おてつだいさん,maid,N2
おどかす,おどかす,to threaten; to coerce,N2
落し物,おとしもの,lost property,N2
おととい,おととい,day before yesterday,N2
おととし,おととし,year before last,N2
おとなしい,おとなしい,obedient; docile; quiet,N2
驚かす,おどろかす,to surprise; to frighten; to create a stir,N2
おねがいします,おねがいします,please,N2
各々,おのおの,each; every; either; respectively; severally,N2
伯母さん,おばさん,(hon) aunt,N2
叔母さん,おばさん,aunt; middle-aged lady,N2
おはよう,おはよう,(abbr) Good morning,N2
お参り,おまいり,worship; shrine visit,N2
おまたせしました,おまたせしました,sorry to have kept you waiting,N2
おまちください,おまちください,please wait a moment,N2
おまちどおさま,おまちどおさま,sorry to have kept you waiting,N2
おめでたい,おめでたい,happy event; matter for congratulation; auspicious event; pregnancy,N2
思い掛けない,おもいがけない,unexpected; casual,N2
思い込む,おもいこむ,to be under impression that; to be convinced that,N2
思い付く,おもいつく,to think of; to hit upon,N2
重たい,おもたい,heavy; massive; serious,N2
お休み,おやすみ,good night; holiday,N2
おやつ,おやつ,between meal snack; afternoon refreshment,N2
親指,おやゆび,thumb,N2
オルガン,オルガン,organ,N2
卸す,おろす,to sell wholesale; grated (vegetables),N2
恩恵,おんけい,grace; favor; blessing; benefit,N2
温室,おんしつ,greenhouse,N2
温泉,おんせん,spa; hot spring; onsen,N2
温帯,おんたい,temperate zone,N2
御中,おんちゅう,and Company; messrs.,N2
女の人,おんなのひと,woman,N2
蚊,か,mosquito,N2
カーブ,カーブ,curve,N2
貝,かい,shell; shellfish,N2
開会,かいかい,opening of a meeting,N2
会館,かいかん,meeting hall; assembly hall,N2
改札,かいさつ,examination of tickets,N2
解散,かいさん,breakup; dissolution,N2
海水浴,かいすいよく,sea bathing; seawater bath,N2
