jlpt_level,section,question_type,context_text_jp,prompt,option_a,option_b,option_c,option_d,answer,explanation,tags
N2,bunpo_form,fill_blank,"会議は予定より早く終わった。","会議が早く終わったので、残業しない（　）なった。","ことに","ことが","ことを","ことは",A,"〜ことになる: it ends up that...","koto_ni_naru"
N2,bunpo_form,fill_blank,"来月から毎朝ジョギングする。","健康のために、毎朝走る（　）した。","ことに","ことを","ことが","ことは",A,"〜ことにする: decide to...","koto_ni_suru"
N2,bunpo_form,fill_blank,"最近、夜更かしが多い。","もっと早く寝る（　）している。","ように","ために","ほど","みたいに",A,"〜ようにする: make an effort to (habit)","you_ni_suru"
N2,bunpo_form,fill_blank,"その店は高いが、いつも混んでいる。","高い（　）、人気がある。","わりに","かわりに","のに","うえに",A,"〜わりに: although..., unexpectedly","wari_ni"
N2,bunpo_form,choose,"彼はまだ来ない。","道が混んでいる（　）。","に違いない","わけではない","ことはない","反面",A,"〜に違いない: must be / surely","ni_chigainai"
N2,bunpo_form,choose,"雨が降っている。","（　）出かけたくないが、買い物に行かなければならない。","だから","とはいえ","それに","しかも",B,"とはいえ: even so / nevertheless","tohaie"
N2,bunpo_form,choose,"今は忙しい。","今日は手伝う（　）。","わけにはいかない","ことはない","ようにする","に違いない",A,"〜わけにはいかない: cannot (socially)","wake_niwa_ikanai"
N2,bunpo_form,choose,"この問題は簡単だ。","心配する（　）。","ことはない","わけではない","にすぎない","しかない",A,"〜ことはない: no need to...","koto_wa_nai"
N2,bunpo_form,choose,"この薬は効く。","副作用がある（　）、注意が必要だ。","反面","最中","次第","上で",A,"〜反面: on the other hand","hanmen"
N2,bunpo_form,choose,"駅に着いた。","着いた（　）、雨が強くなった。","ところ","ばかり","うち","まま",A,"〜たところ: when I did..., then...","ta_tokoro"
N2,sentence_build,choose,"（　）に入る最も適当なものを選びなさい。","友だちに相談したが、答えが出た（　）。","わけではない","次第だ","に限らず","に違いない",A,"〜わけではない: not that...","wake_dewa_nai"
N2,bunpo_form,choose,"","年齢（　）なく、だれでも参加できます。","に限って","に限らず","に比べて","に対して",B,"〜に限らず: not limited to","ni_kagiranai"
N2,bunpo_form,choose,"","状況（　）対応を変える必要がある。","に応じて","に関して","に限って","に違いない",A,"〜に応じて: depending on","ni_oujite"
N2,bunpo_form,choose,"","兄は私（　）背が高い。","に比べて","に対して","に関して","に限らず",A,"〜に比べて: compared to","ni_kurabete"
N2,bunpo_form,choose,"","先生（　）失礼なことを言ってしまった。","に対して","に応じて","に限らず","に違いない",A,"〜に対して: toward/to","ni_taishite"
N2,bunpo_form,choose,"","準備ができ（　）、出発します。","次第","反面","最中","まま",A,"〜次第: as soon as","shidai"
N2,bunpo_form,fill_blank,"雨で試合が中止になった。","雨（　）、試合が中止になった。","せいで","おかげで","ところで","かわりに",A,"〜せいで: because of (negative)","sei_de"
N2,bunpo_form,choose,"","この問題（　）説明します。","に関して","に限らず","に応じて","に比べて",A,"〜に関して: regarding","ni_kanshite"
N2,bunpo_form,choose,"彼は優しい。","優しい（　）、厳しいところもある。","ものの","最中","次第","うち",A,"〜ものの: although","monono"
N2,sentence_build,reorder,"正しい文になるように並べ替えたものを選びなさい。","（ 私は / 日本で / 仕事を / しています ）","私は日本で仕事をしています。","日本で私は仕事をしています。","仕事を私は日本でしています。","私は仕事をしています日本で。",A,"Natural order is A.","reorder"
N2,bunpo_form,error_find,"次の文の不自然な部分を選びなさい。","彼は毎日勉強しているので、合格するに違いない。","毎日","勉強しているので","合格する","に違いない",B,""勉強しているので" is fine; this is a sample error-find item for UI. You can replace with your own.","error_find"
N2,text_grammar,choose,"新しい制度について説明会が行われた。参加できない人のために資料が配布される予定だ。","この文章の内容として正しいのはどれですか。","説明会は中止になった","資料は配布されない","参加できない人にも資料が届く","制度は来年から始まる",C,"Materials will be given to those who cannot attend.","text;detail"
N2,text_grammar,choose,"電車が遅れているため、到着が30分ほど遅れる見込みです。","最も近い意味はどれですか。","30分早く着く","30分ぐらい遅くなる","30分だけ止まる","30分で着く",B,"見込み: likely/expected.","text;gist"
