front,back,tags,deck_id
批判,ひはん | criticism; critique,N2;vocab,
認める,みとめる | to recognize; to admit,N2;vocab,
厳しい,きびしい | strict; harsh; severe,N2;vocab,
訴える,うったえる | to appeal; to sue; to complain,N2;vocab,
著しい,いちじるしい | remarkable; conspicuous,N2;vocab,
競争,きょうそう | competition; race,N2;vocab,
仮定,かてい | hypothesis; assumption,N2;vocab,
交換,こうかん | exchange; replacement,N2;vocab,
模倣,もほう | imitation; mimicry,N2;vocab,
評価,ひょうか | evaluation; assessment,N2;vocab,
彼,ヒ | かれ | he; that,N2;kanji,
悲,ヒ | かな(しい) | sad; grief,N2;kanji,
愛,アイ | love; affection,N2;kanji,
認,ニン | みと(める) | acknowledge; recognize,N2;kanji,
厳,ゲン | きび(しい) | strict; severe,N2;kanji,
わけにはいかない,cannot possibly do; it is not acceptable to,N2;grammar,
ことになっている,it is decided that; it is supposed to,N2;grammar,
〜によると,according to ~,N2;grammar,
〜ものの,although; even though; but,N2;grammar,
〜にとって,for (someone); from the perspective of,N2;grammar,
