word,reading,meaning_en,jlpt_level
批判,ひはん,criticism; critique,N2
認める,みとめる,to recognize; to admit,N2
厳しい,きびしい,strict; harsh; severe,N2
訴える,うったえる,to appeal; to sue; to complain,N2
療養,りょうよう,rest and recuperation,N2
著しい,いちじるしい,remarkable; conspicuous,N2
競争,きょうそう,competition; race,N2
仮定,かてい,hypothesis; assumption,N2
交換,こうかん,exchange; replacement,N2
序列,じょれつ,order; rank; hierarchy,N2
愛情,あいじょう,love; affection,N2
悲劇,ひげき,tragedy,N2
模倣,もほう,imitation; mimicry,N2
授賞,じゅしょう,awarding a prize,N2
評価,ひょうか,evaluation; assessment,N2
